dataSet,ladder,smileLaugh,enjoyment,worry,sadness,depression,anger,income,household,television,computer,internetAccess,food,shelter,livingStandard,ticket,lawsuit,respect,learn,opportunity,time,emergency,gender,age,maritalStatus,residentialArea,education
toronto,5,1,1,2,2,2,2,0,4,1,1,1,2,2,2,80,81,1,1,1,1,1,2,20,3,3,3
toronto,4,1,1,2,2,2,2,100000,4,1,1,1,2,2,1,100,100,1,1,1,1,1,1,19,3,3,3
toronto,8,1,1,2,2,2,2,30000,3,1,1,1,2,2,1,100,100,1,1,1,1,1,1,20,2,3,2
toronto,4,1,1,2,2,2,2,0,4,1,1,1,2,2,1,100,100,1,1,1,1,1,1,20,3,3,2
toronto,10,2,2,1,2,2,2,0,4,1,1,1,2,2,2,25,10,1,1,1,1,1,1,20,3,3,3
toronto,7,2,2,1,2,2,2,200000,3,1,1,1,2,2,1,69,40,1,1,1,1,1,1,20,3,3,2
toronto,6,1,1,1,2,2,2,45000,3,1,1,1,2,2,2,67,30,1,1,1,1,1,1,19,3,3,3
toronto,6,1,1,1,2,2,2,0,3,1,1,1,2,2,1,100,70,1,1,1,1,1,2,22,2,3,3
toronto,1,2,1,1,2,2,1,100000,4,1,1,1,2,2,1,40,18,1,1,1,1,1,1,22,3,2,3
toronto,6,1,2,1,1,1,2,0,3,1,1,1,2,2,1,60,30,1,1,1,1,1,1,18,3,4,2
toronto,7,1,1,1,2,1,1,6000,4,1,1,1,2,2,1,95,99,1,1,1,1,1,1,20,3,3,3
toronto,1,1,1,1,1,1,2,180000,3,1,1,1,2,2,2,56,82,1,1,1, ,1,2,22,3,3,4
toronto,7,1,1,1,2,1,1,0,1,1,1,1,2,2,1,50,33,1,1,1,1,1,1,19,3,3,2
toronto,10,1,1,1,1,1,1,50000,2,1,1,1,2,2,2,100,100,1,1,1,1,1, , , , , 
toronto,8,1,1,1,1,1,2,0,3,2,1,1,1,2,1,65,55,1,1,1,1,1,1,20,3,3,3
toronto,9,1,1,2,2,1,2,0,3,1,1,1,1,2,2,80,50,1,1,1,1,1,3,19,3,4,3
toronto,4,2,2,1,2,1,1,0,3,1,1,1,1,2,2,17,0,1,1,1,1,1,2,23,3,3,3
vienna,7,2,2,1,2,2,2,NA,NA,1,1,1,2,2,1,11,7,1,1,1,2,1,2,23,3,3,1
vienna,8,1,1,2,2,2,2,25000,1,1,1,1,2,2,1,11,11,1,1,1,1,1,1,24,2,3,4
vienna,8,1,1,2,2,2,2,NA,2,1,1,1,2,2,1,11,11,1,2,1,2,1,1,23,2,3,4
vienna,7,1,2,2,2,2,2,14000,4,1,1,1,2,2,1,11,6,2,1,1,1,1,1,24,3,3,4
vienna,7,1,1,2,2,2,2,15000,2,1,1,1,2,2,1,11,10,1,1,2,2,1,2,24,2,3,3
vienna,7,1,1,2,2,2,2,1000,3,2,1,1,2,2,1,11,10,1,2,2,1,1,2,22,2,3,4
vienna,5,2,1,2,2,2,2,1500,1,1,1,1,1,2,1,11,8,1,1,1,1,1,1,32,3,3,3
vienna,9,1,1,1,2,2,2,NA,3,1,1,1,2,2,1,11,11,1,1,1,1,1,1,24,2,3,2
vienna,5,1,1,2,2,2,2,9600,2,2,1,1,2,2,1,9,3,1,1,1,1,1,2,23,2,3,3
vienna,7,2,2,2,2,2,2,1.00E+05,4,2,1,1,2,2,1,10,8,1,1,2,2,1,2,23,3,3,4
vienna,8,2,1,2,2,2,2,1500,1,1,1,1,2,2,1,11,6,1,2,2,1,1,1,30,3,3,4
vienna,7,2,2,2,2,2,2,30000,2,1,1,1,2,2,1,11,6,1,1,1,1,1,2,32,2,3,3
vienna,8,2,1,2,2,2,2,9000,1,2,1,1,2,2,1,11,9,1,1,2,1,1,2,25,2,3,4
vienna,8,2,2,2,2,2,2,2300,1,1,1,1,2,2,1,11,11,1,1,1,1,1,2,27,3,3,3
vienna,7,1,1,2,2,2,2,13000,1,2,1,1,2,2,1,11,11,1,1,2,1,1,2,23,3,3,4
vienna,8,1,1,2,2,2,2,50000,2,1,1,1,2,2,1,10,10,1,1,2,1,1,2,23,2,3,3
vienna,7,2,2,1,1,2,2,17028,1,2,1,1,2,2,1,11,6,1,1,2,2,1,2,23,2,3,4
vienna,6,2,2,1,1,2,1,NA,1,2,1,1,2,2,1,9,9,1,1,2,2,1,2,25,2,3,4
vienna,5,2,2,1,2,2,2,39000,1,2,1,1,2,2,1,10,8,1,1,2,1,1,2,31,3,3,4
vienna,7,1,1,2,2,2,2,24500,2,2,1,1,2,2,1,8,11,1,1,1,2,1,2,27,2,3,3
vienna,7,1,1,2,2,2,2,120000,4,1,1,1,2,2,1,11,6,1,2,1,2,1,2,22,3,1,3
vienna,7,1,2,1,2,2,2,0,NA,2,1,1,2,2,1,9,6,1,1,1,1,1,2,24,3,NA,4
vienna,8,1,1,1,2,2,2,40000,2,1,1,1,2,2,1,11,11,1,2,2,1,1,2,26,2,3,4
vienna,7,2,2,1,1,2,1,25000,3,1,1,1,2,2,1,11,11,1,1,1,2,1,2,39,2,3,4
vienna,9,1,2,1,2,2,2,8000,2,2,1,1,1,2,2,11,4,1,1,2,2,1,2,24,2,3,1
vienna,9,1,1,2,2,2,2,10800,1,2,1,1,2,2,2,10,7,1,2,1,1,1,2,24,2,3,3
vienna,6,2,2,2,2,2,2,12000,2,2,1,1,2,2,1,11,9,1,1,2,2,1,1,27,3,3,4
vienna,8,1,1,2,2,2,2,7200,1,1,1,1,2,2,1,11,10,1,1,1,1,1,2,24,3,3,3
vienna,8,1,1,2,2,2,2,30000,4,1,1,1,2,2,1,11,11,1,1,2,2,1,1,30,1,3,4
vienna,6,1,2,2,2,2,2,15000,1,1,1,1,2,2,1,11,8,1,2,1,2,1,1,24,3,3,3
vienna,8,1,1,2,2,2,2,700,2,2,1,1,2,2,1,11,11,1,2,1,1,1,2,25,3,3,4
vienna,8,1,1,2,2,2,2,75000,2,2,1,1,2,2,1,11,11,1,1,1,2,1,1,30,2,3,4
vienna,3,1,2,1,1,2,1,8680,1,2,1,1,1,2,1,9,4,1,1,2,2,1,2,23,2,3,3
vienna,5,1,2,2,2,2,2,46000,1,2,1,1,2,2,1,11,8,1,1,1,1,1,2,30,3,3,4
vienna,6,2,2,1,2,2,2,12000,1,2,1,1,2,2,1,11,11,1,1,1,1,1,2,23,2,3,4
vienna,8,1,1,2,2,2,2,50000,2,1,1,1,2,2,1,10,10,1,2,2,2,1,2,25,2,3,4
vienna,6,2,2,1,1,1,1,25000,1,2,1,1,2,2,1,11,8,1,1,2,2,1,1,27,3,3,4
vienna,6,1,1,2,2,2,2,7000,2,1,1,1,1,2,2,11,10,1,2,2,1,1,2,24,2,3,4
vienna,8,2,1,2,2,2,2,12000,1,2,1,1,2,2,1,11,9,1,1,1,1,1,2,23,2,3,3
vienna,7,1,1,2,2,2,2,1500,3,1,1,1,2,2,1,11,9,1,1,2,1,1,1,21,2,3,2
vienna,6,1,1,1,2,2,2,6000,3,1,1,1,2,2,2,11,7,1,1,1,1,1,1,22,3,3,2
vienna,8,1,1,2,2,2,2,8500,2,2,1,1,2,2,1,11,11,2,1,2,2,1,1,25,2,3,4
vienna,7,1,2,2,2,2,2,NA,5,2,1,1,2,2,1,11,8,1,1,1,2,1,2,22,3,3,3
vienna,6,1,2,2,2,2,2,25000,1,1,1,1,2,2,1,11,11,1,1,1,1,1,1,25,3,3,3
vienna,7,1,1,2,2,2,2,NA,2,2,1,1,2,2,2,9,7,1,1,2,2,1,3,23,2,3,3
vienna,7,2,1,2,2,2,2,10000,4,2,1,1,2,2,1,11,10,1,1,1,1,1,2,26,3,3,3
vienna,7,1,1,2,2,2,2,NA,2,1,1,1,2,2,1,11,8,1,1,1,1,1,2,24,2,3,3
vienna,8,1,1,2,2,2,2,13136,1,1,1,1,2,2,1,11,11,1,2,1,1,1,1,24,2,3,3
vienna,6,1,1,2,2,2,2,NA,2,1,1,1,2,2,1,6,2,1,1,2,2,1,2,20,3,3,2
vienna,6,1,1,2,2,2,2,18000,2,1,1,1,2,2,1,11,7,1,1,1,1,1,1,23,2,3,4
vienna,7,1,1,2,2,2,2,12000,3,1,1,1,2,2,1,10,8,1,1,1,2,1,2,20,2,3,2
vienna,8,1,1,2,2,2,2,NA,3,2,1,1,2,2,1,11,6,1,1,2,2,1,2,23,3,2,3
vienna,7,1,1,2,2,2,2,7000,1,2,1,1,1,2,1,11,11,1,1,2,1,1,2,25,3,3,2
vienna,9,2,1,2,2,2,2,30000,1,2,1,1,2,2,1,11,11,1,1,1,1,1,1,28,2,4,3
vienna,8,1,1,2,2,2,2,30000,2,2,1,1,2,2,1,11,9,1,2,1,1,1,2,28,3,3,3
vienna,7,1,2,1,2,2,2,20000,1,2,1,1,2,2,1,11,8,1,1,2,1,1,2,26,2,3,4
vienna,7,1,2,2,2,2,2,12000,4,1,1,1,2,2,1,9,5,1,2,2,1,1,1,26,3,3,3
vienna,8,1,1,2,2,2,2,20000,4,1,1,1,2,2,1,11,11,1,1,1,1,1,1,25,2,3,4
vienna,6,2,1,2,2,2,2,12000,1,2,2,1,2,2,1,11,9,1,1,2,2,1,2,22,2,3,4
vienna,9,1,2,1,2,2,2,14000,2,1,1,1,2,2,1,11,11,1,1,2,1,1,2,24,2,3,3
vienna,9,2,2,1,1,2,1,1500,3,1,2,1,2,2,1,11,11,2,1,1,1,1,1,26,2,3,3
vienna,8,1,1,2,2,2,2,15000,3,1,1,1,2,2,1,11,11,1,1,1,1,1,1,25,2,3,4
vienna,6,1,1,2,2,2,2,12000,3,2,1,1,2,2,1,11,10,1,1,2,1,1,2,25,2,3,4
vienna,3,1,1,2,2,2,2,179000,5,1,1,1,2,2,1,11,10,1,1,1,1,1,2,24,3,1,4
vienna,8,2,2,2,2,2,2,2000,1,2,1,1,2,2,1,11,8,1,2,1,1,1,2,25,2,3,3
vienna,7,1,1,2,2,2,2,12000,2,2,1,1,2,2,1,11,11,1,1,1,1,1,2,28,2,3,4
vienna,5,1,1,2,2,2,2,10000,3,1,1,1,2,2,1,11,9,1,2,2,1,1,2,22,3,3,3
vienna,6,1,1,2,2,2,2,20000,1,1,1,1,2,2,2,11,11,1,2,2,1,1,1,25,2,3,2
vienna,8,1,1,2,2,2,2,1500,5,1,1,1,2,2,1,11,11,2,1,1,1,1,2,20,2,2,2
vienna,8,1,1,2,2,2,2,80000,3,1,1,1,2,2,1,11,11,1,2,1,1,1,2,21,3,1,2
vienna,8,1,1,2,2,2,2,300,2,1,2,1,2,2,1,11,7,1,1,1,1,1,2,20,2,2,1
vienna,7,1,1,2,2,2,2,NA,2,1,1,1,2,2,1,11,9,1,1,1,1,1,2,20,3,3,2
vienna,5,1,1,2,2,2,2,21000,1,1,1,1,2,2,1,11,11,1,1,1,1,1,1,23,3,1,3
vienna,7,1,1,2,2,2,2,NA,5,1,1,1,2,2,1,11,11,1,1,1,1,1,2,19,3,1,2
vienna,5,2,2,2,1,1,2,NA,NA,1,1,1,2,2,1,8,2,1,1,1,1,1,2,NA,3,2,3
vienna,7,1,1,2,2,2,2,26000,2,1,1,1,2,2,1,11,10,1,1,2,1,1,2,20,2,2,2
vienna,5,1,1,2,2,2,1,30000,2,1,1,1,1,2,2,9,7,2,2,2,2,1,2,21,2,2,2
vienna,7,2,2,2,2,2,2,21600,2,2,1,1,2,2,1,11,11,1,1,2,1,1,2,24,2,3,4
vienna,6,1,1,2,2,2,2,125000,3,1,1,1,2,2,1,11,10,1,2,1,2,1,2,21,2,1,2
vienna,6,1,1,2,2,2,2,10000,6,1,1,1,2,2,1,10,8,1,2,1,1,1,2,23,2,3,3
vienna,7,1,1,2,2,2,2,NA,NA,2,1,1,2,2,1,7,7,1,1,1,1,1,1,22,3,3,2
vienna,3,1,1,2,2,2,2,2200,3,1,1,1,2,2,1,6,1,1,1,1,1,1,2,20,2,1,2
vienna,8,1,1,2,2,2,2,45000,1,1,1,1,2,2,1,11,11,1,1,1,1,1,1,24,3,3,3
vienna,8,1,1,2,2,2,2,40000,1,2,1,1,2,2,2,11,8,1,1,2,2,1,1,23,NA,NA,3
vienna,8,1,2,2,1,1,2,12000,1,2,1,1,2,2,1,11,11,1,1,2,1,1,2,28,3,3,4
vienna,7,1,1,2,2,2,2,12000,1,1,1,1,2,2,1,10,8,1,1,2,1,1,2,24,3,3,4
vienna,7,1,1,2,2,2,2,25000,1,1,1,1,2,2,1,11,11,1,2,1,1,1,1,25,3,3,4
vienna,9,1,1,2,2,2,2,85000,3,1,1,1,2,2,1,11,11,1,1,1,1,1,2,24,3,3,3
vienna,7,1,1,2,2,2,2,50000,4,1,1,1,2,2,1,10,8,1,1,2,1,1,2,24,2,4,3
vienna,4,2,2,2,1,2,2,NA,2,1,1,1,2,2,2,11,7,1,2,2,2,1,2,26,2,4,3
vienna,7,1,1,2,2,2,2,48000,2,1,1,1,2,2,1,11,11,1,2,2,1,1,1,23,2,3,3
vienna,5,1,1,2,2,2,2,10000,1,2,1,1,2,2,1,11,10,1,1,1,1,1,2,23,2,3,3
vienna,6,2,2,1,1,1,2,25000,2,1,1,1,2,2,1,9,8,1,2,2,1,1,2,25,2,3,4
vienna,7,1,1,2,2,2,2,15000,2,1,1,1,2,2,1,11,9,1,1,1,1,1,2,23,2,3,4
vienna,7,2,2,1,1,2,1,35000,2,1,1,1,2,2,1,11,11,1,1,2,1,1,2,26,2,1,2
vienna,5,1,1,2,2,2,2,20000,3,1,1,1,2,2,2,8,6,1,1,1,1,1,2,25,3,1,4
vienna,6,1,1,2,2,2,2,NA,2,2,1,1,2,2,1,10,5,1,2,1,2,1,2,25,2,3,4
vienna,4,2,2,2,1,2,2,14000,1,2,1,1,1,2,1,10,2,1,1,2,1,1,1,25,2,3,4
vienna,5,2,1,2,2,2,2,NA,2,1,1,1,2,2,1,11,11,1,2,1,1,1,1,22,2,3,2
vienna,8,1,1,2,2,2,2,NA,3,1,1,1,2,2,1,10,9,1,2,1,1,1,2,21,2,3,3
vienna,5,1,1,2,2,2,2,6000,2,1,2,1,2,2,1,11,1,1,1,1,1,1,2,22,2,3,2
vienna,7,1,1,2,2,2,2,4000,2,1,1,1,2,2,1,9,6,1,1,2,2,1,1,23,3,3,3
vienna,6,1,1,2,2,2,2,20000,4,1,2,1,2,2,1,8,7,1,1,2,2,1,2,23,3,3,NA
vienna,9,2,2,1,2,2,2,140000,4,1,1,1,2,2,1,11,11,1,1,1,1,1,1,22,3,4,2
vienna,8,2,1,2,2,2,2,NA,4,1,1,1,2,2,1,11,9,1,1,2,1,1,1,22,2,2,3
vienna,7,1,1,2,2,2,2,120000,4,1,1,1,2,2,1,11,11,1,1,2,1,1,1,22,3,3,3
vienna,7,1,1,2,2,2,2,NA,5,1,1,1,2,1,1,3,2,1,2,2,1,1,2,20,3,3,2
vienna,6,2,2,1,1,1,2,0,1,2,1,1,2,2,1,5,2,1,1,1,1,2,3,25,3,3,2
vienna,6,1,1,2,2,2,2,24000,1,1,1,1,2,2,1,11,11,1,1,2,1,1,2,23,2,4,3
vienna,7,1,1,2,2,2,2,0,3,1,1,1,2,2,1,10,9,1,1,1,1,1,2,24,2,3,4
vienna,9,1,1,2,2,2,2,12000,1,1,1,1,2,2,1,11,11,1,1,2,1,1,1,24,3,3,4
vienna,7,1,1,2,2,2,2,54000,1,1,1,1,2,2,1,11,11,1,1,1,2,1,1,23,2,3,3
vienna,6,1,1,2,2,2,2,21000,2,1,1,1,2,2,1,10,9,1,2,2,2,1,2,24,2,3,4
vienna,9,1,1,2,2,2,2,120000,3,1,1,1,2,2,1,11,11,1,2,2,1,1,1,22,3,4,3
vienna,8,2,2,2,2,2,2,80000,2,1,1,1,2,2,1,10,10,1,1,1,1,1,2,23,2,3,3
vienna,7,1,1,2,2,2,2,NA,2,1,1,1,2,2,1,11,7,1,2,1,1,1,2,23,2,3,4
vienna,2,2,2,1,1,1,2,14400,2,1,1,1,1,1,2,4,1,1,1,2,2,1,2,22,2,3,2
vienna,6,1,2,2,2,2,2,1.00E+05,2,1,1,1,2,2,1,10,5,1,2,2,1,1,2,22,2,3,3
vienna,6,1,2,1,2,2,2,11700,1,1,1,1,2,2,1,11,10,1,1,1,1,1,1,24,3,3,4
vienna,8,1,1,2,2,2,2,40000,2,1,1,1,2,2,1,11,11,1,2,2,1,1,2,22,3,4,2
vienna,8,1,1,2,2,2,2,6000,2,1,1,1,2,2,1,11,10,1,1,2,1,1,1,22,3,1,3
vienna,7,1,2,1,2,1,2,10000,1,2,1,1,2,2,2,11,8,1,1,1,1,1,1,23,3,3,4
vienna,7,1,1,2,2,2,2,53000,2,2,1,1,2,2,1,11,10,1,1,1,1,1,1,27,2,3,4
vienna,8,1,1,2,2,2,2,60000,2,1,1,1,2,2,1,11,11,1,1,1,1,1,1,29,2,3,4
vienna,7,1,2,1,1,2,2,NA,3,1,2,1,2,2,1,8,6,1,1,2,2,1,1,20,2,3,2
vienna,8,1,1,2,2,2,2,NA,1,2,1,1,2,2,1,11,11,1,1,1,1,1,1,26,3,2,4
vienna,7,1,1,2,2,2,2,42000,2,1,1,1,2,2,1,11,11,1,1,1,1,1,2,25,2,2,3
vienna,6,1,2,2,2,2,2,19000,1,1,1,1,2,2,1,11,9,1,2,1,2,1,1,27,3,2,3
vienna,10,2,2,1,2,2,2,1500,2,1,1,1,2,2,1,11,11,1,2,1,1,1,1,26,2,3,3
vienna,8,2,2,2,2,2,2,42000,1,1,1,1,2,2,1,10,7,1,2,2,1,1,1,29,2,3,4
vienna,6,1,1,2,2,2,2,0,3,1,1,1,2,2,1,11,11,1,1,1,1,1,2,23,2,3,4
vienna,6,1,2,2,2,2,2,45000,2,1,1,1,2,2,1,11,10,1,2,2,2,1,1,24,2,3,4
vienna,7,1,1,2,2,2,2,25000,2,1,1,1,2,2,1,11,11,1,2,2,1,1,1,25,2,3,4
vienna,7,2,2,1,2,2,1,35000,1,1,1,1,2,2,1,11,8,1,1,1,1,1,1,29,4,4,4
vienna,7,1,2,2,2,2,2,12000,4,1,1,1,2,2,1,9,8,1,1,2,1,1,1,25,2,3,4
vienna,7,1,1,2,2,2,2,70000,4,1,1,1,2,2,1,11,10,1,1,2,1,1,2,22,3,1,2
vienna,5,1,1,2,2,2,2,0,4,1,1,1,2,2,1,11,4,1,1,2,1,1,1,22,3,3,2
vienna,8,2,2,2,2,2,2,NA,3,1,1,1,2,2,1,11,11,1,2,1,1,1,2,23,3,4,4
vienna,5,1,2,2,2,2,2,3500,3500,1,1,1,2,2,1,11,11,1,2,2,1,1,2,26,2,3,3
vienna,7,1,1,2,2,2,2,13200,1,1,1,1,2,2,1,11,11,1,1,2,1,1,2,25,2,3,4
vienna,8,1,1,2,2,2,2,13000,1,2,1,1,2,2,1,11,8,1,2,2,1,1,2,25,2,3,3
vienna,7,2,2,2,2,2,2,10000,1,2,1,1,2,2,1,11,7,1,1,2,2,1,1,24,3,3,3
vienna,8,1,1,2,2,2,2,4000,3,2,1,1,2,2,1,11,11,1,1,1,1,1,2,24,2,3,3
vienna,5,1,1,2,2,2,2,65000,3,1,1,1,2,2,1,11,11,1,2,2,2,1,2,26,2,3,4
vienna,3,1,2,2,2,2,2,36000,3,2,1,1,2,2,1,10,8,1,1,2,1,1,1,26,2,3,4
vienna,5,2,2,1,1,1,2,10000,1,1,1,1,2,2,1,11,2,1,1,1,1,1,1,29,3,3,4
vienna,9,1,1,2,2,2,2,15000,2,1,1,1,2,2,1,11,8,1,1,1,1,1,2,24,2,4,4
vienna,7,1,1,2,2,2,2,32000,2,1,1,1,2,2,1,11,11,1,2,1,2,1,1,33,2,3,4
vienna,7,1,2,2,2,2,2,5000,5,2,1,1,2,2,1,11,5,1,2,2,1,1,1,25,3,3,3
vienna,8,2,2,1,1,1,2,12000,2,1,1,1,2,2,1,10,4,1,1,2,2,1,2,24,2,3,3
vienna,5,1,1,2,2,2,2,NA,NA,2,1,1,2,2,1,11,10,1,1,1,1,1,2,NA,3,3,4
vienna,7,1,1,2,2,2,2,75700,2,1,1,1,2,2,1,9,4,1,1,2,1,1,2,23,2,3,4
vienna,7,1,1,1,2,2,2,10000,2,2,1,1,2,2,1,11,9,1,1,1,1,1,2,24,2,3,4
vienna,5,2,2,1,2,2,2,12000,1,2,1,1,2,2,1,8,4,1,2,1,1,1,2,24,2,3,3
vienna,3,2,2,1,2,2,2,18000,3,1,1,1,1,2,1,11,6,2,1,2,1,1,1,24,2,3,3
vienna,8,1,2,2,2,2,2,44000,2,2,1,1,2,2,1,11,11,1,1,1,1,1,2,25,2,3,3
vienna,7,1,1,1,2,2,2,12600,3,2,1,1,2,2,1,11,8,1,1,1,1,1,1,29,2,3,4
vienna,7,1,1,2,2,2,2,0,3,2,1,1,2,2,1,7,6,1,2,1,1,1,2,23,3,3,3
vienna,8,2,1,2,2,2,2,82600,1,1,1,1,2,2,1,11,11,1,1,1,1,1,1,36,3,3,2
vienna,8,1,2,2,2,2,2,10200,1,2,1,1,2,2,1,10,8,1,2,2,1,1,2,24,3,3,4
vienna,6,1,1,2,2,2,2,17000,3,1,1,1,2,2,2,11,8,1,1,2,2,1,1,27,3,3,2
vienna,8,1,1,2,2,2,2,28000,1,1,1,1,2,2,1,11,11,1,1,1,1,1,2,23,2,4,3
vienna,5,1,1,2,2,2,2,10000,1,1,1,1,2,2,2,8,2,1,1,1,1,1,1,25,2,3,4
2018spring,8,1,1,1,1,1,1,NA,,1,1,1,1,1,1,,,1,1,1,1,1,2,31,2,2,2
2018spring,8,1,1,2,2,2,2,NA,1,1,1,1,2,2,1,,,1,1,1,1,1,2,31,2,2,2
2018spring,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
2018spring,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
2018spring,NA,NA,NA,NA,NA,2,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
2018spring,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
2018spring,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
2018spring,7,2,2,2,2,2,1,NA,3,1,1,1,2,2,1,,,1,2,2,1,1,1,20,3,3,3
2018spring,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
2018spring,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
2018spring,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
